instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,blocks.order,trials.order
0.008245113,-0.377625429,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008245113,-0.377625429,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.317624244,-0.231354524,1,0,0,1.3795,button_left,1.3795,0,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.317624244,-0.231354524,1,0,0,0.1241,button_left,0.1241,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.314846949,-0.223022637,1,0,0,0.5324,button_left,0.5324,0,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.3231,button_right,0.3231,0,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.6383,button_right,0.6383,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.0542,button_right,0.0542,0,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.0995,button_right,0.0995,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.0275,button_right,0.0275,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.246166775,-0.272088194,1,0,0,0.196,button_right,0.196,0,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.258375214,-0.320227985,1,0,0,0.3491,button_left,0.3491,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.284296696,-0.279494372,1,0,0,0.4292,button_left,0.4292,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.284296696,-0.279494372,1,0,0,0.1587,button_left,0.1587,0,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.284296696,-0.279494372,1,0,0,0.126,button_left,0.126,0,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.284123149,-0.249869885,1,0,0,1.7987,button_right,1.7987,0,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.281345853,-0.249869885,1,0,0,0.1462,button_right,0.1462,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.281345853,-0.249869885,1,0,0,0.173,button_right,0.173,0,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,-0.268558688,-0.258201715,1,0,0,1.1001,button_left,1.1001,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.340594827,-0.253572889,1,0,0,2.6454,button_right,2.6454,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.340594827,-0.253572889,1,0,0,0.491,button_right,0.491,0,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.341520705,-0.252647124,1,0,0,0.2995,button_right,0.2995,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black",,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.341520705,-0.252647124,1,0,0,0.3968,button_right,0.3968,0,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,,,
