instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,key_resp.rt
0.050925926,-0.4,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050925926,-0.4,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.277777778,-0.312037037,1,0,0,1.1146,button_left,1.1146,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.274074074,-0.325925926,1,0,0,1.083,button_left,1.083,0,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.452777778,-0.25,1,0,0,0.8826,button_left,0.8826,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.342592593,-0.287037037,1,0,0,1.3826,button_left,1.3826,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.338888889,-0.301851852,1,0,0,0.8662,button_left,0.8662,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,0.45,-0.331481481,1,0,0,0.9997,button_right,0.9997,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,0.300925926,-0.333333333,1,0,0,0.6824,button_right,0.6824,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,0.300925926,-0.333333333,1,0,0,0.583,button_right,0.583,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,0.439814815,-0.331481481,1,0,0,4.0329,button_right,4.0329,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.289814815,-0.289814815,1,0,0,0.7829,button_left,0.7829,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,1.8523,0,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,,1.8523
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.7153,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,,1.7153
,,,,,,,,,,,,,001,1,001,male,2022-07-06_14h44.27.692,openIAT,2020.1.0rc3,Win32,60,,0,-0.374613003,-0.2750258,1,0,0,5.1155,button_left,5.1155,0,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,,
